,fighter_id,fighter,peak_elo,current_elo,fights,win_streak,weight_class,last_fight_date
271,mark_kerr,Mark Kerr,888.1,888.1,4,4,,1997-10-17
272,christian_leroy_duncan,Christian Leroy Duncan,888.1,888.1,9,4,Middleweight,2026-03-21
273,al_iaquinta,Al Iaquinta,888.0,851.9,15,0,Lightweight,2021-11-06
274,andre_muniz,Andre Muniz,887.1,832.7,10,0,Middleweight,2025-10-04
275,nate_quarry,Nate Quarry,887.0,870.3,10,0,,2010-03-31
276,jamahal_hill,Jamahal Hill,886.7,844.5,10,0,Light Heavyweight,2025-06-21
277,said_nurmagomedov,Said Nurmagomedov,886.7,859.8,11,0,Bantamweight,2025-07-26
278,chas_skelly,Chas Skelly,886.7,886.7,11,2,Featherweight,2022-02-19
279,aleksandar_rakic,Aleksandar Rakic,886.5,830.1,11,0,Light Heavyweight,2025-10-25
280,drew_dober,Drew Dober,886.5,862.5,26,2,Lightweight,2026-03-07
281,claudio_silva,Claudio Silva,886.3,846.0,8,0,Welterweight,2022-07-23
282,andre_petroski,Andre Petroski,885.9,851.0,12,0,Middleweight,2025-09-27
283,josh_barnett,Josh Barnett,885.7,879.5,10,1,,2016-09-03
284,shane_carwin,Shane Carwin,885.6,853.7,6,0,,2011-06-11
285,aiemann_zahabi,Aiemann Zahabi,885.4,885.4,10,7,Bantamweight,2025-10-18
286,kyler_phillips,Kyler Phillips,885.2,846.1,10,0,Bantamweight,2026-04-18
287,dominick_cruz,Dominick Cruz,885.0,863.9,10,0,Bantamweight,2022-08-13
288,alexandr_romanov,Alexandr Romanov,884.9,866.5,10,1,Heavyweight,2024-11-02
289,germaine_de_randamie,Germaine De Randamie,884.6,872.1,10,0,Women's Bantamweight,2024-04-06
290,yan_xiaonan,Yan Xiaonan,884.6,870.7,13,0,Women's Strawweight,2025-04-12
291,alonzo_menifield,Alonzo Menifield,884.6,858.9,17,0,Light Heavyweight,2025-11-22
292,guy_mezger,Guy Mezger,884.5,862.3,5,0,,1999-03-05
293,laverne_clark,Laverne Clark,884.4,860.6,5,0,,2000-09-22
294,jack_shore,Jack Shore,884.4,849.6,9,0,Featherweight,2024-11-02
295,paul_felder,Paul Felder,884.4,867.8,15,0,,2020-11-14
296,damir_ismagulov,Damir Ismagulov,884.0,858.2,7,0,Lightweight,2023-07-01
297,jasmine_jasudavicius,Jasmine Jasudavicius,883.7,880.4,12,1,Women's Flyweight,2026-04-18
298,mark_munoz,Mark Munoz,883.7,842.7,15,1,,2015-05-16
299,dennis_bermudez,Dennis Bermudez,883.5,846.2,17,1,,2019-01-19
300,misha_cirkunov,Misha Cirkunov,883.5,801.6,13,0,Light Heavyweight,2022-10-15
301,chepe_mariscal,Chepe Mariscal,883.4,869.9,6,0,Featherweight,2025-11-15
302,chris_daukaus,Chris Daukaus,883.0,823.0,8,0,Light Heavyweight,2023-08-12
303,amanda_lemos,Amanda Lemos,882.8,857.9,15,0,Women's Strawweight,2026-03-14
304,jack_hermansson,Jack Hermansson,882.8,849.0,19,0,Welterweight,2025-11-22
305,nasrat_haqparast,Nasrat Haqparast,882.6,862.3,15,0,Lightweight,2025-10-25
306,matheus_nicolau,Matheus Nicolau,882.5,836.7,11,0,Flyweight,2024-10-19
307,urijah_faber,Urijah Faber,882.5,864.3,18,0,Bantamweight,2019-12-14
308,jairzinho_rozenstruik,Jairzinho Rozenstruik,882.5,870.3,15,0,Heavyweight,2025-02-01
309,matt_wiman,Matt Wiman,882.3,820.8,18,0,,2020-12-05
310,manel_kape,Manel Kape,882.2,882.2,10,3,Flyweight,2025-12-13
311,louis_smolka,Louis Smolka,882.1,801.3,17,0,Bantamweight,2022-05-14
312,carla_esparza,Carla Esparza,882.1,856.6,16,0,Women's Strawweight,2024-10-05
313,muslim_salikhov,Muslim Salikhov,882.1,866.0,14,0,Welterweight,2025-11-08
314,brandon_vera,Brandon Vera,881.7,832.9,15,0,,2013-08-31
315,gabriel_bonfim,Gabriel Bonfim,881.5,881.5,7,4,Welterweight,2025-11-08
316,clay_guida,Clay Guida,881.3,800.4,37,0,Lightweight,2024-12-07
317,tj_grant,Tj Grant,881.2,881.2,11,5,,2013-05-25
318,luke_rockhold,Luke Rockhold,881.0,842.2,11,0,Middleweight,2022-08-20
319,cynthia_calvillo,Cynthia Calvillo,881.0,821.6,13,0,Women's Strawweight,2023-04-08
320,joanderson_brito,Joanderson Brito,881.0,870.9,9,1,Featherweight,2025-12-13
321,olivier_aubinmercier,Olivier Aubinmercier,880.9,836.0,12,0,,2019-07-27
322,calvin_kattar,Calvin Kattar,880.8,826.3,15,0,Featherweight,2025-07-12
323,antonio_carlos_junior,Antonio Carlos Junior,880.8,843.3,12,0,,2021-01-23
324,diego_lopes,Diego Lopes,880.7,871.0,9,0,Featherweight,2026-01-31
325,tecia_pennington,Tecia Pennington,880.6,861.8,19,0,Women's Strawweight,2025-11-08
326,alejandro_perez,Alejandro Perez,880.6,847.1,13,0,Featherweight,2022-02-26
327,virna_jandiroba,Virna Jandiroba,880.6,879.4,13,1,Women's Strawweight,2026-04-04
328,warlley_alves,Warlley Alves,880.6,813.3,16,0,Middleweight,2024-05-18
329,carlos_condit,Carlos Condit,880.6,829.0,19,0,Welterweight,2021-07-10
330,khaos_williams,Khaos Williams,880.2,846.2,10,0,Welterweight,2025-06-07
331,yves_edwards,Yves Edwards,880.2,804.0,20,0,,2014-11-22
332,oleg_taktarov,Oleg Taktarov,880.2,880.2,9,2,,1995-12-16
333,evan_dunham,Evan Dunham,880.1,833.8,21,0,,2020-06-06
334,erik_perez,Erik Perez,879.8,879.8,9,3,,2016-11-05
335,jalin_turner,Jalin Turner,879.7,861.1,14,1,Lightweight,2025-12-06
336,ryan_laflare,Ryan Laflare,879.7,859.3,10,0,,2018-10-06
337,tracy_cortez,Tracy Cortez,879.7,865.0,8,0,Women's Flyweight,2025-11-15
338,mike_russow,Mike Russow,879.6,838.4,6,0,,2013-01-26
339,jared_cannonier,Jared Cannonier,879.6,852.7,20,0,Middleweight,2025-08-16
340,rafael_fiziev,Rafael Fiziev,879.5,838.6,12,0,Lightweight,2026-01-31
341,fares_ziam,Fares Ziam,879.3,879.3,10,6,Lightweight,2025-12-06
342,sean_woodson,Sean Woodson,879.3,863.4,10,0,Featherweight,2025-04-12
343,da_woon_jung,Da Woon Jung,879.2,817.6,9,0,Light Heavyweight,2024-09-28
344,tagir_ulanbekov,Tagir Ulanbekov,879.2,865.3,8,0,Flyweight,2025-11-22
345,tim_means,Tim Means,879.2,826.4,29,0,Welterweight,2024-10-05
346,dan_ige,Dan Ige,879.2,829.5,21,0,Featherweight,2026-02-21
347,mackenzie_dern,Mackenzie Dern,879.0,879.0,16,3,Women's Strawweight,2025-10-25
348,clint_hester,Clint Hester,878.7,820.4,7,0,,2016-04-23
349,rousimar_palhares,Rousimar Palhares,878.6,857.9,12,1,,2013-10-09
350,sam_alvey,Sam Alvey,878.4,766.1,24,0,Middleweight,2022-08-06
351,marvin_vettori,Marvin Vettori,878.3,833.8,18,0,Middleweight,2025-12-06
352,jiri_prochazka,Jiri Prochazka,878.2,864.2,9,0,Light Heavyweight,2026-04-11
353,payton_talbott,Payton Talbott,878.1,878.1,6,2,Bantamweight,2025-12-06
354,james_krause,James Krause,878.1,878.1,13,1,,2020-10-17
355,jared_rosholt,Jared Rosholt,878.1,864.5,8,0,,2016-02-06
356,jimmie_rivera,Jimmie Rivera,878.0,845.8,11,0,,2021-02-27
357,mirsad_bektic,Mirsad Bektic,878.0,833.5,10,0,,2020-09-19
358,ignacio_bahamondes,Ignacio Bahamondes,877.8,848.2,10,0,Lightweight,2026-03-28
359,myktybek_orolbai,Myktybek Orolbai,877.8,877.8,6,3,Welterweight,2026-03-14
360,alistair_overeem,Alistair Overeem,877.6,862.8,20,0,,2021-02-06
361,chan_sung_jung,Chan Sung Jung,877.5,853.5,12,0,Featherweight,2023-08-26
362,chris_wade,Chris Wade,877.3,857.5,7,1,,2017-07-22
363,uriah_hall,Uriah Hall,877.3,852.4,19,0,Middleweight,2022-07-02
364,tyson_griffin,Tyson Griffin,877.2,824.4,14,0,,2011-10-29
365,vitor_petrino,Vitor Petrino,877.2,877.2,9,3,Heavyweight,2026-03-14
366,chris_duncan,Chris Duncan,877.0,862.8,8,0,Lightweight,2026-04-04
367,chad_laprise,Chad Laprise,876.9,843.0,10,0,,2018-12-08
368,bryan_caraway,Bryan Caraway,876.7,850.6,10,0,,2018-11-30
369,joe_stevenson,Joe Stevenson,876.6,813.7,16,0,,2011-06-26
370,nazim_sadykhov,Nazim Sadykhov,876.6,859.6,6,0,Lightweight,2025-12-06
371,macy_chiasson,Macy Chiasson,876.5,838.8,14,0,Women's Bantamweight,2026-02-28
372,rashid_magomedov,Rashid Magomedov,876.5,872.2,6,1,,2017-04-15
373,ben_saunders,Ben Saunders,876.5,790.1,19,0,,2019-12-14
374,raul_rosas_jr,Raul Rosas Jr,876.4,876.4,7,5,Bantamweight,2026-03-07
375,jimi_manuwa,Jimi Manuwa,876.4,814.4,12,0,,2019-06-01
376,albert_tumenov,Albert Tumenov,876.2,844.5,8,0,,2016-10-08
377,dustin_jacoby,Dustin Jacoby,876.0,876.0,17,3,Light Heavyweight,2026-02-07
378,johnny_case,Johnny Case,876.0,841.8,6,0,,2017-06-25
